company_name,stock_code,event_order,event_date,event_type,source_page,evidence_text_verified,evidence_length,annotator,review_date,notes
影石创新科技股份有限公司,688775,4,2017,增资,PDF p42,yes,72,zbq,2026-06-16,B轮。战略投资方迅雷+产业投资方富凯进入。招股书未逐轮披露详情，日期/金额均未明确。confidence=low
影石创新科技股份有限公司,688775,5,2018,增资,PDF p42,yes,94,zbq,2026-06-16,C轮/C+轮（后期）。4家PE/产业资本进入。招股书未逐轮披露详情，可能包含多轮。日期/金额均未明确。confidence=low
影石创新科技股份有限公司,688775,6,2020-02-26,其他,PDF p1,yes,188,zbq,2026-06-16,股改：净资产5.27亿折股3.6亿，27名发起人股东
影石创新科技股份有限公司,688775,7,2023-03-24,股权转让,PDF p1,yes,138,zbq,2026-06-16,申报前12个月内老股东德朴投资退出，汇智同裕接盘
常州三协电机股份有限公司,920100,1,2002-11-07,设立,PDF p30,yes,168,zbq,2026-06-16,三协电机有限公司设立。盛祎、朱绶青为夫妻，共同实际控制人。具体设立时出资结构待从历沿革章节进一步提取
常州三协电机股份有限公司,920100,2,2022-08-09,增资,PDF p31-32,yes,216,zbq,2026-06-16,新三板挂牌后第一次定增。稳正景明(雷赛智能98%出资)目前持股486.70万股(9.16%)。稳正景明基金管理人为深圳市稳正资产管理有限公司
常州三协电机股份有限公司,920100,3,2023-09-06,增资,PDF p32,yes,236,zbq,2026-06-16,"第二次定增。15名自然人(盛祎及员工/关联方)认购321.50万股。2023年12月权益分派:10转增3.8股+10派3.90元，转增1,462.43万股"
中科星图测控技术股份有限公司,920116,1,2016-12-14,设立,PDF p48,yes,160,zbq,2026-06-16,有限公司设立。四方股份为中科星图关联方。牛威(总经理)和吴功友通过代持方式持股。代持于2017年10月解除
中科星图测控技术股份有限公司,920116,2,2017-10-25,股权转让,PDF p48,yes,158,zbq,2026-06-16,代持还原：罗永红→牛威，王金林→吴功友。零对价。解除后无纠纷
中科星图测控技术股份有限公司,920116,3,2024-06-30,其他,PDF p47,yes,222,zbq,2026-06-16,IPO前股权结构。中科星图为控股股东(46.36%)，中国科学院空天院为实际控制人。策星系为员工持股平台(合计38.88%)。幸福一期/二期为外部PE。2016年设立→2023年新三板挂牌→2024年北交所上市，中间增资轮次细节待从历沿革章节进一步提取
