error_type,record_id,stock_code,date,event_type,investor_name,source_page,evidence_text
FN,GE-accb66f7cfb5,301563,2020-05-28,增资,火炬电子科技股份有限公司,PDF p1,"2020年5月20日召开临时股东大会，同意注册资本由4,635万元增至4,748.0488万元。火炬电子以现金5,000万元认购新增股份113.0488万股，每股价格约44.23元，对应投后估值约21亿元。"
FN,GE-dc3382e004dc,301563,2015-12-03,其他,曾烨,PDF p1,"2015年10月15日，全体发起人签署《发起人协议书》。有限公司将经审计净资产额45,010,412.64元按1.1253:1的比例折成4,000万股，每股面值1元，其余5,010,412.64元计入资本公积。2015年12月3日，上海市工商行政管理局核准。"
FN,GE-e86d8de9c276,301563,2014-08,增资,武汉力源信息技术股份有限公司,PDF p1,力源信息、东方富海及芜湖富海共同增资28.205万元，注册资本增至128.205万元。此轮引入了产业投资者力源信息（上市公司）及知名投资机构东方富海系。
FN,GE-5a6588723fc0,301581,2012-06-12,增资,昆山谷捷金属制品有限公司,PDF p1,"2012年4月11日，黄山市供销社出具《关于同意投资昆山谷捷项目的批复》（黄供财[2012]22号），同意设立谷捷有限。2012年5月28日，谷捷有限股东昆山谷捷作出股东决定，同意由昆山谷捷出资1,000万元设立谷捷有限。2012年6月12日，安徽天正达会计师事务所出具《验资报告》，确认谷捷有限已收到昆山谷捷缴纳的注册资本1,000万元，出资方式为货币。设立时昆山谷捷持股100%。"
FN,GE-91614ff6aeff,301581,2022-05-26,增资,黄山佳捷股权管理中心（有限合伙）,PDF p1,"2022年5月20日，谷捷有限召开股东会，同意注册资本由1,714.2857万元增至1,804.5113万元，新增注册资本90.2256万元由员工持股平台黄山佳捷全额认缴。增资价格为23.55元/注册资本，出资方式为货币。增资后：黄山供销集团51.87%、赛格高技术25.65%、张俊武7.315%、周斌7.315%、黄山佳捷5.00%、上汽科技2.85%。"
FN,GE-db9a2d390651,301581,2021-11-11,增资,上海广弘实业有限公司,PDF p1,2021年9月18日，赛格高技术、上汽科技与黄山供销集团、张俊武、周斌及谷捷有限签署《增资协议》，约定谷捷有限增加注册资本514.2857万元，其中赛格高技术认缴462.8571万元、上汽科技认缴51.4286万元，增资价格为22.42元/注册资本，出资方式为货币。增资后：黄山供销集团54.60%、赛格高技术27.00%、张俊武7.70%、周斌7.70%、上汽科技3.00%。
FN,GE-ead7b7820ad9,301581,2022-09-13,其他,黄山供销集团有限公司,PDF p1,"2022年8月24日，谷捷有限召开股东会，同意以截至2022年5月31日经审计的净资产20,152.51万元按1:0.29773比例折成6,000万股，每股面值1元，净资产余额14,152.51万元转为资本公积，整体变更后各股东持股比例保持不变。2022年9月13日取得换发营业执照。"
FN,GE-ff80e68a9b9a,301581,2021-04-13,其他,黄山供销集团有限公司,PDF p1,"2020年12月24日，谷捷有限及昆山谷捷召开股东会，同意谷捷有限吸收合并昆山谷捷。2021年4月7日，谷捷有限召开股东会，吸收合并后注册资本变更为1,200万元（黄山供销集团936万、张俊武132万、周斌132万）。本次吸收合并系同一股权结构下的公司架构调整。截至2021年3月31日，昆山谷捷净资产账面价值380.94万元，谷捷有限净资产账面价值2,912.30万元，评估价值9,651.75万元。"
FN,GE-0d3f398d4851,603418,2022-12-19,增资,深圳市杉晖创业投资合伙企业(有限合伙),PDF p43-45,"2022年12月4日，友升股份召开第一届董事会第十六次会议，同意增加注册资本至14,480.1333万元，新增股份的认购价格为33.6323元/股。杉晖创业认购297.3333万股(10,000万元)，上海联炻认购297.3333万股(10,000万元)，安吉璞颉认购148.6667万股(5,000万元)，财投晨源认购89.2万股(3,000万元)，深圳达晨创程认购86.5984万股(2,912.5万元)，杉创智至认购59.4667万股(2,000万元)，杭州达晨创程认购51.959万股(1,747.5万元)，达晨财汇认购29.7333万股(1,000万元)，达晨财智认购29.7333万股(1,000万元)，财智创赢认购10.1093万股(340万元)。合计1,100.1333万股，37,000万元。"
FN,GE-8d89665d762a,603418,2020-09-09,整体变更,上海泽升贸易有限公司,PDF p41-42,"公司由上海友升铝业有限公司整体变更设立。根据会计师出具的《审计报告》，友升有限截至2020年5月31日的净资产为40,482.37万元。以友升有限截至2020年5月31日的净资产40,482.37万元按3.3735:1的比例折合股本12,000.00万元（每股面值1.00元）。泽升贸易8,976.00万股(74.80%)，达晨创联基金1,800.00万股(15.00%)，共青城泽升1,020.00万股(8.50%)，罗世兵204.00万股(1.70%)。"
FN,GE-91959866e9a2,603418,2020-09-27,增资,上海金浦临港智能科技股权投资基金合伙企业(有限合伙),PDF p42-43,"2020年9月，金浦临港基金、金浦科创基金和上海骁墨与本次增资前公司股东签署《投资协议》，约定金浦临港基金、金浦科创基金和上海骁墨分别以7,000万元、3,000万元和1,500万元认购发行人新增注册资本840万元、360万元和180万元。新增股份的认购价格为8.3333元/股。2020年9月30日完成工商变更。"
FN,GE-03d365cd74b7,688758,2009-03,增资,黄学英,PDF p2,苏州众勤会计师事务所有限公司出具苏众勤（2009）第...号验资报告...赛分有限（筹）股东黄学英、沈建林、潘鼎签署了《苏州赛分科技有限公司章程》。江苏省苏州工商行政管理局出具《名称预先登记核准通知书》。
FN,GE-05814c4c1220,688758,2021-09-16,其他,黄学英,PDF p52-53,"2021年9月16日，赛分科技就整体变更为股份有限公司事项办理完毕工商变更登记手续，取得了江苏省市场监督管理局换发的《营业执照》。整体变更为股份有限公司后，赛分科技的股权结构如下：黄学英持股8,031,668股（29.1989%）；周金清持股2,800,000股（10.1793%）；高新同华持股2,700,000股（9.8158%）；陆民持股2,574,000股（9.3577%）；国寿疌泉持股2,500,615股（9.0909%）；华泰大健康一号持股1,751,887股（6.3689%）；苏州贤达持股1,341,500股（4.8770%）；复星惟盈持股1,263,621股（4.5939%）。"
FN,GE-50a68bf001bd,688758,2021-04,增资及股权转让,上海复星惟盈股权投资基金合伙企业（有限合伙）,PDF p55-56,"2021年2月24日，黄学英与复星惟盈、唐斌、张敏签署了《股权转让协议》。具体情况如下：黄学英向复星惟盈转让37.3190万元注册资本，转让单价51.52元/注册资本，转让价格1,922.8571万元；向朱勤华转让19.4081万元注册资本，转让价格1,000.0000万元；向唐斌转让0.8872万元注册资本，转让价格45.7143万元；向张敏转让0.6100万元注册资本，转让价格31.4286万元。注：上述表格中转让单价和转让金额之间的细微差异，系计算过程四舍五入造成。"
FN,GE-af3481f66288,688758,2015-08,增资,安徽高新同华创业投资基金（有限合伙）,PDF p57-58,2015年8月签署的《增资协议》中第五条'业绩承诺和补偿'，各方不再根据被终止条款享有任何权利或承担任何义务，作为补偿，黄学英同意以合计人民币0元的价格向高新同华转让其所持有的赛分有限22万元注册资本。双方将另行签署《股权转让协议》。
FN,GE-f8e8bc343a05,688758,2021-11,增资,源峰磐赛（深圳）股权投资中心（有限合伙）,PDF p59-61,"2021年10月28日，上述新增股东与赛分科技签署了《增资协议》。截至2021年11月，上述新增股东已支付完毕全部增资款。本次增资具体情况如下：源峰磐赛认购1,571,815股，股份价格127.24元/股，认购金额20,000.00万元；珠海峦恒认购628,726股，认购金额8,000.00万元；高瓴祈睿认购628,726股，认购金额8,000.00万元；国药中生认购461,846股，认购金额5,876.59万元；圣成投资认购9,699股，认购金额123.41万元；国药二期认购155,625股，认购金额1,980.20万元；圣祁投资认购1,556股，认购金额19.80万元；夏尔巴二期认购392,954股，认购金额5,000.00万元；甘李药业认购235,772股，认购金额3,000.00万元；吴征涛认购157,182股，认购金额2,000.00万元。合计4,243,901股，54,000.00万元。注：上述表格中增资单价和增资金额之间的细微差异，系计算过程四舍五入造成。"
FN,GE-151c0014deda,688775,2015-01,增资,EARN ACE LIMITED,PDF p42,2014年5月，刘靖康带领的管理团队得到IDG等投资机构的投资意向，并拟搭建VIE架构用于接受境外投资。自公司VIE架构的搭建至其拆除期间，开曼岚锋持续引入新投资人。EARN ACE LIMITED为早期进入的境外投资方。
FN,GE-1640fb045538,688775,2020-02-26,其他,北京岚锋创视网络科技有限公司,PDF p1,"截至2019年10月31日，深圳岚锋账面净资产52,728.05万元。全体股东以其拥有的净资产52,728.05万元出资，按1:1.4647比例折合股本36,000.00万元，其余计入资本公积。2020年2月26日，深圳市市场监督管理局核准。股改后27名股东，北京岚锋29.9376%、EARN ACE 13.3239%、QM101 9.4001%、香港迅雷8.7327%等。"
FN,GE-5528aa0c11a2,688775,2016-01,增资,QM101 Limited,PDF p42,自公司VIE架构的搭建至其拆除期间，开曼岚锋持续引入新投资人。QM101 Limited（启明创投IV期基金）通过开曼岚锋持有公司权益。
FN,GE-6c407805b8d9,688775,2017-01,增资,香港迅雷有限公司,PDF p42,开曼岚锋持续引入新投资人，香港迅雷（Xunlei Network Technologies Limited）和厦门富凯通过开曼岚锋持有公司权益。
FN,GE-ae0fce54b87f,688775,2015-07-09,增资,北京岚锋创视网络科技有限公司,PDF p1,"2015年7月9日，北京岚锋以货币出资方式设立深圳岚锋，公司注册资本1,000.00万元。深圳岚锋设立时，股东情况为：北京岚锋100%。"
FN,GE-c37b643e4eb8,688775,2018-01,增资,深圳市伊敦传媒投资基金合伙企业（有限合伙）,PDF p42,开曼岚锋持续引入新投资人。伊敦传媒(苏宁)、华金同达、中证投资、金石智娱通过开曼岚锋持有公司权益。容诚验字[2020]518Z0004号验资报告验证有限公司设立及六次增资扩股均已实缴到位。
FN,GE-d1ea3c9e42b4,920116,2024-06-30,其他,中科星图股份有限公司,PDF p47,"截至本招股说明书签署日，公司总股本为82,500,000股。本次发行前股本结构：中科星图38,250,000股(46.36%)，策星九天23,450,781股(28.43%)，幸福一期9,174,219股(11.12%)，策星揽月4,125,000股(5.00%)，幸福二期3,000,000股(3.64%)，策星银河2,790,000股(3.38%)，策星逐日1,710,000股(2.07%)。合计82,500,000股(100.00%)。"
FP,AE-00edc9652232,001282,2004-06-18,设立,主要生产经营地址,MD p17,"  芜湖三联锻造股份有限公司  有限公司成立日期  2004 年6 月18 日  股份公司成立日期  2018 年11 月26 日  注册资本  8,498.00 万元  法定代表人  孙国奉  注册地址  芜湖市高新技术产业开发区 天井山路20 号  主要生产经营地址  芜湖"
FP,AE-026e2f497006,001282,,增资,代付土地款,MD p31,以实物（机器设备）出资100 万元，以 代三联有限支付的土地款形成的债权出资10 万元，共计162.5 万元；股东张松 满以货币出资57.5 万元，以实物（机器设备）出资105 万元，共计162.5 万元。  2004 年6 月18 日，三联有限设立经芜湖市工商行政管理局核准，并取得注
FP,AE-04bdeff1ca59,001282,,增资,设立时,MD p449,奉出资11 万元；张松满出资10 万元；孙国敏出资10 万元。  设立时，瑞安市国环螺钉厂出资结构如下：  股东名称  注册资本（万元）  出资比例（%）  孙国奉  11.00  35.48  孙国敏  10.00  32.26  张松满  10.00  3
FP,AE-06c356e61f3e,001282,,增资,万元计入注,MD p451,"房屋和土地使用权）出资1,100 万元，货币资金出资200 万元。根据中 水致远资产评估有限公司于2017 年9 月16 日出具的中水致远评报字【2017】第 020258 号《温州三联锻造有限公司拟以部分资产出资项目的资产评估报告》， 截至2017 年8 月31"
FP,AE-07bcfd265f73,001282,2019-11-12,设立,三联合伙自成立至本招股说明书签署日,MD p49,"91340203MA2UA1BT27  成立日期  2019 年11 月12 日  注册地址  安徽省芜湖市弋江区中山南路717 号科技产业园4 号楼3 楼  主要生产经营地  安徽省芜湖市弋江区中山南路717 号科技产业园4 号楼3 楼  注册资本  1,566 万元  实收资"
FP,AE-0e1b0d056319,001282,,增资,万元已投入三联,MD p32,0 万元已投入三联有限，出资足额、真实；债权出资10 万元已投入三联 有限，出资足额、真实。  （二）股份公司设立情况  1、发行人设立的程序  2018 年10 月11 日，三联有限召开股东会并作出决议，全体股东一致同意 三联有限整体变更设立股份有限公司。
FP,AE-1cde52416bad,001282,2002-10,增资,万元增加至,MD p450,"：张银宽系孙国奉之妹孙凤娟的配偶。  ③2002 年10 月，第一次股权转让、第二次增资及变更名称  2002 年10 月，张银宽将持有的瑞安市三联锻压厂8 万元注册资本转让予孙 国奉，转让价格为1 元/注册资本。2002 年12 月，瑞安市三联锻压厂的名称变更 为“温州三联锻造有限公司”,注册资本由88 万元增加至308 万元，新增注册资 本220 万元，其中原股东孙国奉出资67.80 万元；原股东张松满以货币方式出资 21.31 万元、以实物出资54.79 万元；原股东孙国敏出资76.10 万元。  本次增资后，温州三联出资结构如下：  股东名称  注册资本（万元）  出资比例（%）  出"
FP,AE-1efd30d93370,001282,2015-01-09,设立,中国,MD p52,"记时间  2015 年9 月10 日  成立日期  2015 年1 月9 日  出资总额  2,400 万元  注册地址  芜湖市弋江区高新技术开发区漳河路30 号汇峰跨境电商产业园一楼  企业类型  有限合伙企业  经营范围  投资管理、创业投资、股权投资、投资咨询（证券、"
FP,AE-27e8c819af07,001282,,增资,同时股东孙,MD p450,31 万元、以实物出资54.79 万元；原股东孙国敏出资76.10 万元。  本次增资后，温州三联出资结构如下：  股东名称  注册资本（万元）  出资比例（%）  出资方式  孙国奉  107.80  35.00  货币  张松满  45.31  32.50  货币  
FP,AE-2faba0df0ea8,001282,,增资,同时股东孙国奉将其持有温州三联的,MD p450,89 万元，新增注册资本 481 万元，其中原股东孙国奉出资172.20 万元，原股东张松满出资150.90 万元， 原股东孙国敏出资157.90 万元。同时股东孙国奉将其持有温州三联的3.85 万元  
FP,AE-3a49c36aca78,001282,,增资,孙国敏货币出资,MD p31,资产。其中孙国奉货币出资 175 万元，孙国敏货币出资100 万元，张松满货币出资105 万元。三联有限的注 册资本仍为500 万元。  本次货币出资置换完成后，三联有限的出资结构如下：  股东名称  注册资本（万元） 出资比例（%）  出资方式  出资状态  孙国
FP,AE-43e298495a65,001282,2019-01-08,设立,一致行动,MD p46,  负责欧洲销售市场维护及新业务开拓  成立日期  2019 年1 月8 日  五、主要股东及实际控制人的基本情况  （一）控股股东、实际控制人的基本情况  1、发行人的实际控制人认定  截至本招股说明书签署日，公司共同实际控制人为孙国奉、张一衡、孙国敏、 孙仁豪。孙国奉与孙
FP,AE-46c4c04522d8,001282,2015-03-25,设立,以上经营,MD p51,漳河路30 号汇峰跨境电商产业园一楼  成立日期  2015 年3 月25 日  基金备案编号  S81208  备案时间  2015 年10 月15 日  基金管理人  安徽同华投资管理中心（有限合伙），登记编号：P1022934  经营范围  股权投资，投资管理及投资咨询（
FP,AE-48ca2bd3d54e,001282,,增资,万元注册资本转让予孙,MD p450,万元，其中 原股东孙国奉出资21 万元，原股东孙国敏出资14 万元，原股东张松满出资14 万元，新股东张银宽出资8 万元。  本次增资后，瑞安市三联锻压厂出资结构如下：  股东名称  注册资本（万元）  出资比例（%）  出资方式  孙国奉  32.00  36.3
FP,AE-4c86fd92b796,001282,,增资,万元增至,MD p450,08 万元，新增注册资 本220 万元，其中原股东孙国奉出资67.80 万元；原股东张松满以货币方式出资 21.31 万元、以实物出资54.79 万元；原股东孙国敏出资76.10 万元。  本次增资后，温州三联出资结构如下：  股东名称  注册资本（万元）  出资比例（%） 
FP,AE-649d30360cb5,001282,,增资,万元计入注册资本,MD p38," 日，公司已收到股东三联合伙以货币方式 缴纳出资1,566 万元，其中348 万元计入注册资本，剩余1,218 万元计入资本公 积，公司的注册资本增加至8,498 万元。  （2）股份支付情况   "
FP,AE-6c3ca076632a,001282,,增资,股东名称,MD p449,资31 万元，其中孙国奉出资11 万元；张松满出资10 万元；孙国敏出资10 万元。  设立时，瑞安市国环螺钉厂出资结构如下：  股东名称  注册资本（万元）  出资比例（%）  孙国奉  11.00  35.48  孙国敏  10.00  32.26  张松
FP,AE-8a319ddbd5e0,001282,2018-10-25,设立,三联锻造持有,MD p46,91340200MA2T68PM0M  成立日期  2018 年10 月25 日  注册地址  安徽省芜湖市弋江区高新技术开发区天井山路20 号  主要生产经营地  安徽省芜湖市弋江区高新技术开发区天井山路20 号  注册资本  100 万元  实收资本  100 万元  法定代
FP,AE-939ebda99515,001282,2018-11-26,设立,主要生产经营地址,MD p17," 2004 年6 月18 日  股份公司成立日期  2018 年11 月26 日  注册资本  8,498.00 万元  法定代表人  孙国奉  注册地址  芜湖市高新技术产业开发区 天井山路20 号  主要生产经营地址  芜湖市高新技术产业开 发区天井山路20 号  控股股东 "
FP,AE-95b8713622b2,001282,,增资,三联有限已收到全体股东,MD p30,程，约定三联有限的注册资本500 万元，由孙国奉以机器设备出资 175 万元，占注册资本35%；孙国敏以货币和机器设备出资162.5 万元，占注册 资本32.5%；张松满以货币和机器设备出资162.5 万元，占注册资本32.5%。  2、设立时股东出资的验资情况  2004 
FP,AE-962db8ef7423,001282,,增资,三联有限的出资结构如下,MD p31,币出资，置换原设立时股东投入的实物资产。其中孙国奉货币出资 175 万元，孙国敏货币出资100 万元，张松满货币出资105 万元。三联有限的注 册资本仍为500 万元。  本次货币出资置换完成后，三联有限的出资结构如下：  股东名称  注册资本（万元） 出资比例（%）  
FP,AE-ad4d921da5aa,001282,,增资,三联有限设立时出资结构如下,MD p31,       招股说明书  30  元；股东孙国敏以货币出资52.5 万元，以实物（机器设备）出资100 万元，以 代三联有限支付的土地款形成的债权出资10 万元，共计162.5 万元；股东张松 满以货币出资57.5 万元，以实物（机器设备）出资105 万元，共计162.5
FP,AE-adcaed60145a,001282,,增资,原股东孙国敏,MD p450,张松满以货币方式出资 21.31 万元、以实物出资54.79 万元；原股东孙国敏出资76.10 万元。  本次增资后，温州三联出资结构如下：  股东名称  注册资本（万元）  出资比例（%）  出资方式  孙国奉  107.80  35.00  货币  张松满  4
FP,AE-b116e7409088,001282,,增资,实缴出资,MD p31,75 万元，孙国敏货币出资100 万元，张松满货币出资105 万元。三联有限的注 册资本仍为500 万元。  本次货币出资置换完成后，三联有限的出资结构如下：  股东名称  注册资本（万元） 出资比例（%）  出资方式  出资状态  孙国奉  175.00  35.
FP,AE-d7f17c9618d0,001282,1995-12,增资,万元增至,MD p450,       招股说明书  449  ②1995 年12 月，变更名称及第一次增资  1995 年12 月，瑞安市国环螺钉厂更名为“瑞安市三联锻压厂”。同月，瑞 安市三联锻压厂注册资本由31 万元增至88 万元，新增注册资本57 万元，其中 原股东孙国奉出资21 万元，原股东孙国敏出资14 万元，原股东张松满出资14 万元，新股东张银宽出资8 万元。  本次增资后，瑞安市三联锻压厂出资结构如下：  股东名称  注册资本（万元）  
FP,AE-d82c0a341f86,001282,2017-09-20,设立,三联锻造持有,MD p43,"91330381MA298WTM4J  成立日期  2017 年9 月20 日  注册地址  浙江省温州市瑞安市桐浦镇桐浦村  主要生产经营地  浙江省温州市瑞安市桐浦镇桐浦村  注册资本  3,800 万元  实收资本  3,800 万元  法定代表人  张一衡  主营业务 "
FP,AE-ea797fdcd5dd,001282,,增资,张银宽,MD p450,14 万元，原股东张松满出资14 万元，新股东张银宽出资8 万元。  本次增资后，瑞安市三联锻压厂出资结构如下：  股东名称  注册资本（万元）  出资比例（%）  出资方式  孙国奉  32.00  36.36  货币  孙国敏  24.00  27.27  货
FP,AE-f17f54d1df34,001282,,增资,万元注册资本转让,MD p450,8 万元，新增注册资本57 万元，其中 原股东孙国奉出资21 万元，原股东孙国敏出资14 万元，原股东张松满出资14 万元，新股东张银宽出资8 万元。  本次增资后，瑞安市三联锻压厂出资结构如下：  股东名称  注册资本（万元）  出资比例（%）  出资方式  孙国
FP,AE-f22c2a0c6a76,001282,,增资,其中孙国奉出资,MD p449,立瑞安市国环螺钉厂， 总投资31 万元，其中孙国奉出资11 万元；张松满出资10 万元；孙国敏出资10 万元。  设立时，瑞安市国环螺钉厂出资结构如下：  股东名称  注册资本（万元）  出资比例（%）  孙国奉  11.00  35.48  孙国敏  10.00
FP,AE-fec62d16ba84,001282,,增资,机器设备,MD p30,62.5 万元，占注册 资本32.5%；张松满以货币和机器设备出资162.5 万元，占注册资本32.5%。  2、设立时股东出资的验资情况  2004 年6 月10 日，安徽平泰会计师事务所出具编号为平泰会验字【2004】 第395 号《验资报告》，验证截至2004 年6 月10 
FP,AE-022131d7a382,301563,,增资,册资本,MD p60,20 万元认缴 新增注册资本20 万元；秦国君以现金20 万元认缴新增注册资本20 万元；李剑 峰以现金20 万元认缴新增注册资本20 万元；周雪峰以现金60 万元认缴新增注 册资本60 万元。  2018 年6 月28 日，发行人就夏东、南山富海、珠海拓域、李文发
FP,AE-68803f1d0793,301563,,增资,万股股份转,MD p59,"值美元认缴新增注册资本61.8 万元； 中科贵银以现金1,584 万元认缴新增注册资本54.384 万元；夏东以现金204 万 元认缴新增注册资本7.004 万元；南山富海以现金3,000 万元认缴新增注册资本 103 万元；珠海拓域以现金1,000 万元认缴新增注册资本3"
FP,AE-68b72ccc73ce,301563,,增资,万元出资已于登记之前足额缴纳,MD p55,子有限公司，注册资本为50 万元。其中：深圳云汉电子认缴出资 25 万元，占注册资本的50%；刘云锋认缴出资25 万元，占注册资本的50%。 本次增资各方均以自有资金出资，资金来源合法合规。  2008 年5 月5 日，上海德欣会计师事务所有限公司对上海云汉电子有限公 司
FP,AE-97f6b3892c0b,301563,2015-10-13,整体变更,ZB,MD p54,"芯城（上海）互联网科技股份有限公司。  2015 年10 月13 日，致同会计师事务所出具致同审字（2015）第 350ZB0228 号《审计报告》，截至2015 年8 月31 日，有限公司的净资产为 45,010,412.64 元。  2015 年10 月14 日，上海立信资产评估有限公司出具了信资评报字（2015） 第415 号《上海云汉电子有限公司拟公司改制整体资产评估报告书》，有限公 司以2015 年8 月31 日为基准日的净资产评估值为4,773.16 万元，高于公司拟 整体变更的股本，符合《公司法》等法律法规的规定。  2015 年10 月15 日，全体发起人签署了《云汉芯城（上海"
FP,AE-a48655e3e368,301563,2018-06,增资,CASREV,MD p59,"00,000  100.00   （二）2018 年6 月至7 月，股份公司增加注册资本暨第二次股权转让  2018 年6 月12 日，发行人与国科瑞华、CASREV FUND、中科贵银、夏东、 南山富海、珠海拓域、曾烨、刘云锋、为赛咨询、力源信息、东方富海、芜湖 富海、深创投、天健创投、镇江红土、昆山红土、富海深湾、富海节能、临港 投资、鸿迪投资签署了《关于云汉芯城（上海）互联网科技股份有限公司之增 资与股权转让协议》，约定该协议相关方对发行人增资，以及受让发行人股份 事宜。根据该协议，国科瑞华以现金7,412 万元认缴新增注册资本254.4787 万 元；CASREV FUND 以现金1,"
FP,AE-a6a65723c202,301563,,增资,公司的股权结构如下,MD p60,"金20 万元认缴新增注册资本20 万元；周雪峰以现金60 万元认缴新增注 册资本60 万元。  2018 年6 月28 日，发行人就夏东、南山富海、珠海拓域、李文发、秦国君、 李剑峰、周雪峰向发行人增资事宜办理完成工商变更登记，发行人的注册资本 由4,000 万元增"
FP,AE-a6b0f1f1e117,301563,,增资,上述增资和股权转让的每股价格约为,MD p59,"万 元认缴新增注册资本7.004 万元；南山富海以现金3,000 万元认缴新增注册资本 103 万元；珠海拓域以现金1,000 万元认缴新增注册资本34.3333 万元。同时， 该协议还约定，曾烨将其持有的发行人51.5 万股股份转让予富海节能，转让价 格为1,500 万元"
FP,AE-d3737f91caa1,301563,,增资,万元增至,MD p60,共计120 万元，每股价格1 元。其中，李文发以现金20 万元认缴 新增注册资本20 万元；秦国君以现金20 万元认缴新增注册资本20 万元；李剑 峰以现金20 万元认缴新增注册资本20 万元；周雪峰以现金60 万元认缴新增注 册资本60 万元。  2018 年6 
FP,AE-d6bb058f5681,301563,,增资,CASREV,MD p59,"，以及受让发行人股份 事宜。根据该协议，国科瑞华以现金7,412 万元认缴新增注册资本254.4787 万 元；CASREV FUND 以现金1,800 万元的等值美元认缴新增注册资本61.8 万元； 中科贵银以现金1,584 万元认缴新增注册资本54.384 万元；夏东以"
FP,AE-da6f5ab40f12,301563,,增资,上海云汉,MD p55,缴出资 25 万元，占注册资本的50%；刘云锋认缴出资25 万元，占注册资本的50%。 本次增资各方均以自有资金出资，资金来源合法合规。  2008 年5 月5 日，上海德欣会计师事务所有限公司对上海云汉电子有限公 司（筹）截止2008 年5 月4 日的出资情况进
FP,AE-f21f18ce75f8,301563,2008-05-07,设立,成立日期,MD p20,芯城（上海）互联网科 技股份有限公司  成立日期  2008 年5 月7 日   
FP,AE-48d812ba7a8f,301581,,吸收合并,zc,MD p43,"1 年4 月7 日，谷捷有限召开股东会，吸收合并后谷捷有限的注册资本 变更为1,200 万元，其中黄山供销集团出资936 万元，张俊武出资132 万元，周 斌出资132 万元；同日，谷捷有限与昆山谷捷再次签订《吸收合并协议》，进一 步明确了双方权利义务等条款。  2021 年4 月13 日，"
